Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
220175,METROWEST MEDICAL CENTER,115 LINCOLN STREET,,,FRAMINGHAM,MA,1701.00,MIDDLESEX,5083831000.00,14.90,No Different than U.S. National Rate,12.00,18.30,173.00,,10.70,No Different than U.S. National Rate,9.00,12.70,658.00,,11.10,No Different than U.S. National Rate,9.10,13.50,526.00,,23.80,No Different than U.S. National Rate,19.70,28.50,136.00,,26.50,No Different than U.S. National Rate,23.90,29.20,800.00,,20.80,No Different than U.S. National Rate,17.90,23.70,536.00,
220176,ST VINCENT HOSPITAL,123 SUMMER STREET,,,WORCESTER,MA,1608.00,WORCESTER,5083635000.00,12.80,No Different than U.S. National Rate,10.00,15.90,190.00,,10.30,No Different than U.S. National Rate,8.20,12.80,322.00,,11.70,No Different than U.S. National Rate,9.30,14.60,312.00,,17.90,No Different than U.S. National Rate,14.90,21.50,202.00,,26.80,No Different than U.S. National Rate,23.40,30.30,403.00,,18.70,No Different than U.S. National Rate,15.80,21.80,329.00,
220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,,,NANTUCKET,MA,2554.00,NANTUCKET,5082281200.00,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.00,No Different than U.S. National Rate,9.20,17.90,30.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,17.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,2.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.90,No Different than U.S. National Rate,20.90,31.70,42.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,20.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,,,OAK BLUFFS,MA,2557.00,DUKES,5086930410.00,Not Available,Number of Cases Too Small,Not Available,Not Available,7.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.90,No Different than U.S. National Rate,8.70,15.90,86.00,,11.00,No Different than U.S. National Rate,7.90,15.00,105.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,4.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.20,No Different than U.S. National Rate,18.20,26.90,96.00,,17.90,No Different than U.S. National Rate,14.20,22.30,113.00,
221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,,,GREAT BARRINGTON,MA,1230.00,BERKSHIRE,4135280790.00,Not Available,Number of Cases Too Small,Not Available,Not Available,20.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.00,No Different than U.S. National Rate,8.10,14.70,82.00,,12.00,No Different than U.S. National Rate,8.80,16.00,139.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.20,No Different than U.S. National Rate,17.90,27.10,108.00,,17.20,No Different than U.S. National Rate,13.80,21.20,154.00,
221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,,,ATHOL,MA,1331.00,WORCESTER,9782493511.00,Not Available,Number of Cases Too Small,Not Available,Not Available,11.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.00,No Different than U.S. National Rate,7.70,15.40,55.00,,15.50,No Different than U.S. National Rate,11.30,20.80,64.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,8.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.10,No Different than U.S. National Rate,20.60,30.60,71.00,,18.20,No Different than U.S. National Rate,14.40,22.70,60.00,
223302,CHILDREN'S HOSPITAL BOSTON,300 LONGWOOD AVENUE,,,BOSTON,MA,2115.00,SUFFOLK,6177356000.00,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
230002,ST MARY MERCY HOSPITAL,36475 FIVE MILE ROAD,,,LIVONIA,MI,48154.00,WAYNE,7346554800.00,14.90,No Different than U.S. National Rate,12.80,17.30,479.00,,11.00,No Different than U.S. National Rate,9.50,12.70,812.00,,9.80,Better than U.S. National Rate,8.30,11.50,750.00,,20.60,No Different than U.S. National Rate,17.70,23.70,356.00,,29.80,Worse than U.S. National Rate,27.20,32.20,954.00,,18.50,No Different than U.S. National Rate,16.30,21.00,767.00,
230003,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,,,ZEELAND,MI,49464.00,OTTAWA,6167724644.00,Not Available,Number of Cases Too Small,Not Available,Not Available,11.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,9.70,No Different than U.S. National Rate,7.00,13.10,87.00,,10.80,No Different than U.S. National Rate,7.80,15.00,102.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.50,No Different than U.S. National Rate,19.20,28.20,98.00,,17.40,No Different than U.S. National Rate,13.90,21.80,103.00,
230004,"MERCY HEALTH PARTNERS, MERCY CAMPUS",1500 E SHERMAN BOULEVARD,,,MUSKEGON,MI,49444.00,MUSKEGON,2316723901.00,15.10,No Different than U.S. National Rate,12.50,18.20,368.00,,11.40,No Different than U.S. National Rate,9.10,14.40,369.00,,11.40,No Different than U.S. National Rate,8.90,14.40,293.00,,15.10,Better than U.S. National Rate,12.50,18.40,376.00,,21.20,Better than U.S. National Rate,18.30,24.40,406.00,,17.40,No Different than U.S. National Rate,14.60,20.70,304.00,
230005,EMMA L BIXBY MEDICAL CENTER,818 RIVERSIDE AVENUE,,,ADRIAN,MI,49221.00,LENAWEE,5172650900.00,15.20,No Different than U.S. National Rate,12.00,19.30,109.00,,14.40,No Different than U.S. National Rate,10.90,18.70,182.00,,13.60,No Different than U.S. National Rate,10.50,17.30,217.00,,17.60,No Different than U.S. National Rate,14.10,21.80,90.00,,20.80,No Different than U.S. National Rate,17.40,24.90,214.00,,15.90,No Different than U.S. National Rate,13.00,19.60,211.00,
230013,DOCTORS' HOSPITAL OF MICHIGAN,461 W HURON ST,,,PONTIAC,MI,48341.00,OAKLAND,2488577200.00,Not Available,Number of Cases Too Small,Not Available,Not Available,21.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.40,No Different than U.S. National Rate,8.40,15.30,97.00,,10.70,No Different than U.S. National Rate,7.40,14.90,82.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.60,No Different than U.S. National Rate,22.50,30.90,135.00,,19.70,No Different than U.S. National Rate,15.70,24.20,88.00,
230015,THREE RIVERS HEALTH,701 S HEALTH PARKWAY,,,THREE RIVERS,MI,49093.00,SAINT JOSEPH,2692739602.00,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.60,No Different than U.S. National Rate,9.40,16.40,128.00,,11.50,No Different than U.S. National Rate,8.30,15.60,118.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,8.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.10,No Different than U.S. National Rate,20.20,28.40,155.00,,17.80,No Different than U.S. National Rate,14.20,22.00,128.00,
230017,BRONSON METHODIST HOSPITAL,601 JOHN STREET,,,KALAMAZOO,MI,49007.00,KALAMAZOO,2693416000.00,14.80,No Different than U.S. National Rate,12.30,17.70,419.00,,13.20,No Different than U.S. National Rate,11.20,15.60,679.00,,10.80,No Different than U.S. National Rate,8.70,13.00,535.00,,16.60,No Different than U.S. National Rate,14.00,19.80,410.00,,21.10,Better than U.S. National Rate,18.60,23.90,788.00,,15.20,Better than U.S. National Rate,12.90,17.90,565.00,
230019,PROVIDENCE HOSPITAL AND MEDICAL CENTERS,16001 W NINE MILE RD,,,SOUTHFIELD,MI,48075.00,OAKLAND,2488493011.00,12.70,Better than U.S. National Rate,10.70,14.90,431.00,,8.10,Better than U.S. National Rate,7.00,9.30,1409.00,,9.50,Better than U.S. National Rate,8.20,11.00,941.00,,21.00,No Different than U.S. National Rate,18.60,23.70,539.00,,25.70,No Different than U.S. National Rate,23.90,27.50,1798.00,,20.50,No Different than U.S. National Rate,18.40,22.70,965.00,
230020,OAKWOOD HOSPITAL AND MEDICAL CENTER,18101 OAKWOOD BLVD,,,DEARBORN,MI,48124.00,WAYNE,3135937125.00,13.00,Better than U.S. National Rate,11.40,14.90,892.00,,9.10,Better than U.S. National Rate,8.00,10.50,1432.00,,10.30,No Different than U.S. National Rate,8.80,12.10,783.00,,19.50,No Different than U.S. National Rate,17.90,21.50,1201.00,,27.50,Worse than U.S. National Rate,25.60,29.30,1858.00,,20.20,No Different than U.S. National Rate,18.00,22.50,796.00,
230021,"LAKELAND HOSPITAL, ST JOSEPH",1234 NAPIER AVENUE,,,ST JOSEPH,MI,49085.00,BERRIEN,2699838300.00,15.00,No Different than U.S. National Rate,12.60,18.10,411.00,,11.20,No Different than U.S. National Rate,9.50,13.20,686.00,,10.10,No Different than U.S. National Rate,8.20,12.40,482.00,,19.70,No Different than U.S. National Rate,16.90,22.80,410.00,,22.60,No Different than U.S. National Rate,20.40,25.40,826.00,,16.10,No Different than U.S. National Rate,13.70,19.10,497.00,
230022,COMMUNITY HEALTH CENTER OF BRANCH COUNTY,274 E CHICAGO ST,,,COLDWATER,MI,49036.00,BRANCH,5172795400.00,15.60,No Different than U.S. National Rate,11.90,20.20,46.00,,14.80,No Different than U.S. National Rate,11.30,18.90,156.00,,14.00,No Different than U.S. National Rate,10.80,18.10,200.00,,19.10,No Different than U.S. National Rate,15.00,23.60,30.00,,24.60,No Different than U.S. National Rate,20.80,29.20,174.00,,18.80,No Different than U.S. National Rate,15.50,22.90,202.00,
230024,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,,,DETROIT,MI,48235.00,WAYNE,3139663300.00,15.10,No Different than U.S. National Rate,12.80,17.60,405.00,,9.40,Better than U.S. National Rate,7.70,11.30,688.00,,10.90,No Different than U.S. National Rate,8.80,13.40,262.00,,21.90,No Different than U.S. National Rate,19.10,24.70,402.00,,31.40,Worse than U.S. National Rate,28.70,34.00,888.00,,22.80,Worse than U.S. National Rate,19.30,26.10,262.00,
230029,ST JOSEPH MERCY OAKLAND,44405 WOODWARD AVE,,,PONTIAC,MI,48341.00,OAKLAND,2488583000.00,14.50,No Different than U.S. National Rate,11.90,17.60,351.00,,12.50,No Different than U.S. National Rate,10.70,14.50,823.00,,11.10,No Different than U.S. National Rate,9.20,13.40,555.00,,18.00,No Different than U.S. National Rate,15.30,21.10,375.00,,23.50,No Different than U.S. National Rate,21.30,25.80,1009.00,,17.90,No Different than U.S. National Rate,15.50,20.60,565.00,
230030,MIDMICHIGAN MEDICAL CENTER-GRATIOT,300 E WARWICK DR,,,ALMA,MI,48801.00,GRATIOT,9894631101.00,14.70,No Different than U.S. National Rate,11.30,18.80,73.00,,11.40,No Different than U.S. National Rate,9.00,14.10,321.00,,11.60,No Different than U.S. National Rate,8.90,14.80,259.00,,19.50,No Different than U.S. National Rate,15.70,23.70,50.00,,24.40,No Different than U.S. National Rate,21.30,27.60,374.00,,14.90,Better than U.S. National Rate,12.40,18.00,278.00,
230031,ST JOSEPH MERCY PORT HURON,2601 ELECTRIC AVENUE,,,PORT HURON,MI,48060.00,SAINT CLAIR,8109851510.00,17.60,No Different than U.S. National Rate,13.80,22.00,72.00,,13.00,No Different than U.S. National Rate,10.30,16.30,243.00,,15.10,No Different than U.S. National Rate,11.50,19.60,178.00,,20.50,No Different than U.S. National Rate,16.50,24.70,49.00,,23.10,No Different than U.S. National Rate,19.90,26.60,290.00,,19.80,No Different than U.S. National Rate,16.30,23.70,174.00,
230035,SPECTRUM HEALTH UNITED MEMORIAL - UNITED CAMPUS,615 S BOWER STREET,,,GREENVILLE,MI,48838.00,MONTCALM,6167544691.00,15.90,No Different than U.S. National Rate,12.40,19.80,28.00,,11.70,No Different than U.S. National Rate,8.80,15.00,147.00,,12.20,No Different than U.S. National Rate,9.10,16.20,171.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,21.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.00,No Different than U.S. National Rate,22.80,31.50,181.00,,18.60,No Different than U.S. National Rate,15.20,22.30,193.00,
230036,ALPENA REGIONAL MEDICAL CENTER,1501 W CHISHOLM ST,,,ALPENA,MI,49707.00,ALPENA,9893567390.00,16.00,No Different than U.S. National Rate,12.50,20.40,147.00,,10.20,No Different than U.S. National Rate,7.80,13.00,295.00,,15.30,Worse than U.S. National Rate,12.20,18.90,284.00,,17.70,No Different than U.S. National Rate,14.30,21.70,71.00,,20.50,Better than U.S. National Rate,17.50,24.20,368.00,,15.40,No Different than U.S. National Rate,12.90,18.60,287.00,
230037,HILLSDALE COMMUNITY HEALTH CENTER,168 S HOWELL STREET,,,HILLSDALE,MI,49242.00,HILLSDALE,5174374451.00,13.10,No Different than U.S. National Rate,9.80,17.10,64.00,,12.20,No Different than U.S. National Rate,9.10,16.10,136.00,,11.10,No Different than U.S. National Rate,8.50,14.30,295.00,,18.00,No Different than U.S. National Rate,14.30,22.20,37.00,,21.70,No Different than U.S. National Rate,18.10,25.90,161.00,,18.70,No Different than U.S. National Rate,15.60,21.90,309.00,
230038,SPECTRUM HEALTH - BUTTERWORTH CAMPUS,100 MICHIGAN ST NE,,,GRAND RAPIDS,MI,49503.00,KENT,6163911774.00,16.30,No Different than U.S. National Rate,13.90,18.90,598.00,,12.70,No Different than U.S. National Rate,11.20,14.50,1214.00,,10.50,No Different than U.S. National Rate,9.10,12.10,1118.00,,16.30,Better than U.S. National Rate,14.00,19.00,704.00,,22.90,No Different than U.S. National Rate,20.90,24.90,1388.00,,17.40,No Different than U.S. National Rate,15.60,19.60,1131.00,
230040,PENNOCK HOSPITAL,1009 W GREEN ST,,,HASTINGS,MI,49058.00,BARRY,2699453451.00,15.50,No Different than U.S. National Rate,12.10,19.50,42.00,,11.40,No Different than U.S. National Rate,8.70,14.90,155.00,,10.10,No Different than U.S. National Rate,7.40,13.70,172.00,,19.60,No Different than U.S. National Rate,15.60,24.10,36.00,,22.60,No Different than U.S. National Rate,18.90,27.00,170.00,,18.10,No Different than U.S. National Rate,14.60,22.20,174.00,
230041,MCLAREN BAY REGION,1900 COLUMBUS AVE,,,BAY CITY,MI,48708.00,BAY,9898943000.00,18.60,Worse than U.S. National Rate,15.70,21.70,418.00,,11.50,No Different than U.S. National Rate,9.70,13.40,991.00,,11.80,No Different than U.S. National Rate,9.40,14.70,383.00,,20.10,No Different than U.S. National Rate,17.40,23.10,434.00,,23.20,No Different than U.S. National Rate,21.10,25.40,1201.00,,18.40,No Different than U.S. National Rate,15.70,21.40,404.00,
230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474",,,ANN ARBOR,MI,48109.00,WASHTENAW,7347641505.00,13.20,No Different than U.S. National Rate,10.60,16.50,296.00,,10.30,No Different than U.S. National Rate,8.40,12.60,612.00,,9.60,Better than U.S. National Rate,7.80,11.90,550.00,,21.00,No Different than U.S. National Rate,17.80,24.40,329.00,,27.30,No Different than U.S. National Rate,24.60,29.90,859.00,,21.80,Worse than U.S. National Rate,18.90,24.50,614.00,
230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,,,CLINTON TOWNSHIP,MI,48038.00,MACOMB,5862632300.00,13.10,Better than U.S. National Rate,11.20,15.20,626.00,,11.70,No Different than U.S. National Rate,10.30,13.30,1158.00,,9.60,Better than U.S. National Rate,8.00,11.50,763.00,,20.00,No Different than U.S. National Rate,17.50,22.60,619.00,,26.60,No Different than U.S. National Rate,24.60,28.70,1403.00,,20.00,No Different than U.S. National Rate,17.60,22.40,787.00,
230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,,,DETROIT,MI,48202.00,WAYNE,3139162600.00,12.30,Better than U.S. National Rate,10.30,14.60,546.00,,8.70,Better than U.S. National Rate,7.20,10.50,908.00,,11.90,No Different than U.S. National Rate,9.80,14.20,481.00,,22.50,Worse than U.S. National Rate,19.90,25.30,603.00,,28.40,Worse than U.S. National Rate,26.10,30.60,1230.00,,24.00,Worse than U.S. National Rate,20.70,27.00,497.00,
230054,MARQUETTE GENERAL HOSPITAL,420 W MAGNETIC,,,MARQUETTE,MI,49855.00,MARQUETTE,9062289440.00,16.00,No Different than U.S. National Rate,12.90,19.80,318.00,,10.20,No Different than U.S. National Rate,7.80,13.40,242.00,,10.70,No Different than U.S. National Rate,7.90,14.10,190.00,,17.30,No Different than U.S. National Rate,14.60,20.60,373.00,,21.70,No Different than U.S. National Rate,18.60,25.40,307.00,,18.20,No Different than U.S. National Rate,15.20,21.60,224.00,
230055,DICKINSON COUNTY MEMORIAL HOSPITAL,1721 S STEPHENSON AVE,,,IRON MOUNTAIN,MI,49801.00,DICKINSON,9067741313.00,14.90,No Different than U.S. National Rate,11.60,19.00,82.00,,14.00,No Different than U.S. National Rate,10.90,17.70,180.00,,12.20,No Different than U.S. National Rate,9.50,15.60,185.00,,18.30,No Different than U.S. National Rate,14.70,22.60,66.00,,23.10,No Different than U.S. National Rate,19.50,27.20,188.00,,17.80,No Different than U.S. National Rate,14.40,21.80,186.00,
230058,MERCY HOSPITAL - GRAYLING,1100 E MICHIGAN AVE,,,GRAYLING,MI,49738.00,CRAWFORD,9893485461.00,12.70,No Different than U.S. National Rate,9.70,16.30,103.00,,10.60,No Different than U.S. National Rate,7.90,14.20,180.00,,9.90,No Different than U.S. National Rate,7.30,13.10,213.00,,17.60,No Different than U.S. National Rate,14.10,21.80,66.00,,23.50,No Different than U.S. National Rate,19.90,27.30,223.00,,17.30,No Different than U.S. National Rate,14.20,20.90,238.00,
230059,SAINT MARY'S HEALTH CARE,200 JEFFERSON AVENUE SE,,,GRAND RAPIDS,MI,49503.00,KENT,6166855000.00,16.20,No Different than U.S. National Rate,12.90,20.00,146.00,,13.10,No Different than U.S. National Rate,10.50,15.90,337.00,,12.90,No Different than U.S. National Rate,10.00,16.50,224.00,,19.30,No Different than U.S. National Rate,15.70,23.70,108.00,,24.30,No Different than U.S. National Rate,21.30,27.80,411.00,,16.90,No Different than U.S. National Rate,13.90,20.40,236.00,
23005F,IRON MOUNTAIN MI VA MEDICAL CENTER,325 EAST H STREET,,,IRON MOUNTAIN                 ,MI,49801.00,DICKINSON,9067743300.00,Not Available,Number of Cases Too Small,Not Available,Not Available,16.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.00,No Different than U.S. National Rate,8.00,15.10,88.00,,10.10,No Different than U.S. National Rate,6.90,14.20,66.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.10,No Different than U.S. National Rate,18.00,26.80,101.00,,16.50,No Different than U.S. National Rate,12.90,20.70,70.00,
230066,"MERCY HEALTH PARTNERS, HACKLEY CAMPUS",1700 CLINTON STREET,,,MUSKEGON,MI,49442.00,MUSKEGON,2317263511.00,15.60,No Different than U.S. National Rate,11.80,20.20,47.00,,13.70,No Different than U.S. National Rate,10.40,18.20,138.00,,10.70,No Different than U.S. National Rate,8.10,13.90,189.00,,18.30,No Different than U.S. National Rate,14.40,23.50,30.00,,22.10,No Different than U.S. National Rate,18.30,26.70,156.00,,17.20,No Different than U.S. National Rate,14.10,21.10,198.00,
230069,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,620 BYRON RD,,,HOWELL,MI,48843.00,LIVINGSTON,5175456000.00,15.10,No Different than U.S. National Rate,11.60,19.10,41.00,,10.20,No Different than U.S. National Rate,7.80,13.20,188.00,,11.20,No Different than U.S. National Rate,8.70,14.50,208.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,20.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.20,No Different than U.S. National Rate,21.60,29.10,244.00,,17.90,No Different than U.S. National Rate,14.70,21.60,220.00,
230070,"COVENANT MEDICAL CENTER, INC",1447 N HARRISON,,,SAGINAW,MI,48602.00,SAGINAW,9895834000.00,13.30,No Different than U.S. National Rate,11.30,15.50,619.00,,12.30,No Different than U.S. National Rate,10.60,14.20,942.00,,16.00,Worse than U.S. National Rate,13.80,18.30,669.00,,20.00,No Different than U.S. National Rate,17.40,22.50,641.00,,26.30,No Different than U.S. National Rate,24.10,28.70,1123.00,,20.10,No Different than U.S. National Rate,17.60,22.50,666.00,
230071,STRAITH HOSPITAL FOR SPECIAL SURGERY,23901 LAHSER,,,SOUTHFIELD,MI,48033.00,OAKLAND,2483573360.00,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
230072,HOLLAND COMMUNITY HOSPITAL,602 MICHIGAN AVE,,,HOLLAND,MI,49423.00,OTTAWA,6163925141.00,15.20,No Different than U.S. National Rate,12.20,18.70,132.00,,11.70,No Different than U.S. National Rate,9.00,15.00,159.00,,11.90,No Different than U.S. National Rate,9.30,15.20,255.00,,17.50,No Different than U.S. National Rate,14.00,21.70,100.00,,24.20,No Different than U.S. National Rate,20.30,28.50,183.00,,16.50,No Different than U.S. National Rate,13.60,19.90,266.00,
230075,BRONSON BATTLE CREEK HOSPITAL,300 NORTH AVENUE,,,BATTLE CREEK,MI,49017.00,CALHOUN,2699668000.00,18.50,No Different than U.S. National Rate,15.50,21.70,216.00,,9.30,Better than U.S. National Rate,7.50,11.40,498.00,,12.40,No Different than U.S. National Rate,10.20,14.90,450.00,,18.40,No Different than U.S. National Rate,15.20,22.20,155.00,,25.40,No Different than U.S. National Rate,22.40,28.40,630.00,,19.20,No Different than U.S. National Rate,16.40,22.20,453.00,
230077,ST MARY'S OF MICHIGAN MEDICAL CENTER,800 S WASHINGTON AVENU,,,SAGINAW,MI,48601.00,SAGINAW,9897768000.00,15.60,No Different than U.S. National Rate,13.00,18.60,477.00,,12.50,No Different than U.S. National Rate,10.10,15.10,503.00,,13.00,No Different than U.S. National Rate,10.40,15.90,430.00,,17.00,No Different than U.S. National Rate,14.60,20.00,519.00,,25.80,No Different than U.S. National Rate,23.00,28.80,622.00,,17.70,No Different than U.S. National Rate,15.20,20.40,463.00,
230078,COMMUNITY HOSPITAL,400 MEDICAL PARK DR,,,WATERVLIET,MI,49098.00,BERRIEN,2694633111.00,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.40,No Different than U.S. National Rate,8.60,17.70,31.00,,10.40,No Different than U.S. National Rate,7.30,14.60,110.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.00,No Different than U.S. National Rate,21.10,31.90,40.00,,18.30,No Different than U.S. National Rate,14.30,22.50,117.00,
230080,CENTRAL MICHIGAN COMMUNITY HOSPITAL,1221 SOUTH DRIVE,,,MOUNT PLEASANT,MI,48858.00,ISABELLA,9897726700.00,15.70,No Different than U.S. National Rate,12.10,19.70,74.00,,10.50,No Different than U.S. National Rate,8.00,13.90,170.00,,11.20,No Different than U.S. National Rate,8.60,14.20,275.00,,20.10,No Different than U.S. National Rate,16.20,24.50,49.00,,25.10,No Different than U.S. National Rate,21.20,29.50,201.00,,17.60,No Different than U.S. National Rate,14.80,20.80,298.00,
230081,MERCY HOSPITAL - CADILLAC,400 HOBART ST,,,CADILLAC,MI,49601.00,WEXFORD,2318767200.00,15.50,No Different than U.S. National Rate,12.20,19.30,127.00,,9.70,No Different than U.S. National Rate,7.30,12.80,220.00,,9.50,No Different than U.S. National Rate,6.90,13.00,144.00,,18.10,No Different than U.S. National Rate,14.50,22.20,82.00,,24.30,No Different than U.S. National Rate,20.70,28.10,245.00,,15.40,No Different than U.S. National Rate,12.20,19.40,155.00,
230085,SOUTH HAVEN COMMUNITY HOSPITAL,955 S BAILEY AVE,,,SOUTH HAVEN,MI,49090.00,VAN BUREN,2696375271.00,Not Available,Number of Cases Too Small,Not Available,Not Available,7.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.30,No Different than U.S. National Rate,7.30,14.20,50.00,,14.40,No Different than U.S. National Rate,10.40,19.80,68.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.60,No Different than U.S. National Rate,20.00,29.80,65.00,,16.20,No Different than U.S. National Rate,12.70,20.60,82.00,
